"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.416508530E-1,-1.598675728E0,-7.351233959E0,-3.657932758E0,8.365218280E0
6.463658010E-1,-8.986115456E-1,-6.775394440E0,-3.864840984E0,7.851781222E0
6.510807490E-1,-1.704592705E-1,-6.493550301E0,-4.041727543E0,7.650543340E0
6.557956450E-1,5.797562599E-1,-6.514688969E0,-3.887724161E0,7.608658806E0
6.605106450E-1,1.522408485E0,-6.649282932E0,-3.356186390E0,7.602281118E0
6.652255930E-1,2.755522728E0,-6.790944099E0,-2.434136391E0,7.722360211E0
6.699405410E-1,4.328816891E0,-6.767828941E0,-1.360608101E0,8.148215673E0
6.746554890E-1,6.144923210E0,-6.347524643E0,-1.225094795E-1,8.835505584E0
6.793704360E-1,8.297224045E0,-5.393990517E0,1.064128399E0,9.953463206E0
6.840853840E-1,1.052180481E1,-3.971526623E0,2.017336130E0,1.142589363E1
6.888003320E-1,1.263214493E1,-2.376358509E0,2.551504850E0,1.310451610E1
6.935152800E-1,1.440472221E1,-7.307395935E-1,2.791269302E0,1.469085385E1
6.982302280E-1,1.564148331E1,8.068463802E-1,2.859846115E0,1.592123491E1
7.029451760E-1,1.629326630E1,2.103685617E0,2.850740433E0,1.667401394E1
7.076601240E-1,1.653003883E1,2.905691147E0,2.481558084E0,1.696594694E1
7.123750720E-1,1.619301987E1,3.185055017E0,1.909133673E0,1.661334582E1
7.170900200E-1,1.560952091E1,3.232971191E0,1.303733349E0,1.599402909E1
7.218049680E-1,1.488077354E1,3.205452204E0,5.794618130E-1,1.523312578E1
7.265199160E-1,1.410692787E1,3.094989538E0,-7.671284676E-2,1.444265416E1
7.312348640E-1,1.332530594E1,2.955229998E0,-7.203207016E-1,1.366806587E1
7.359497590E-1,1.250636196E1,2.601256609E0,-1.315760016E0,1.284160620E1
7.406647590E-1,1.182983589E1,2.334359884E0,-2.007468700E0,1.222391852E1
7.453797070E-1,1.143112373E1,2.486650229E0,-2.847493649E0,1.204002655E1
7.500946550E-1,1.142067719E1,3.187630177E0,-3.720691681E0,1.242724427E1
7.548094990E-1,1.149012375E1,4.014474869E0,-4.428032875E0,1.295169593E1
7.595244470E-1,1.160452938E1,4.685075760E0,-4.939265251E0,1.345404691E1
7.642394470E-1,1.174857235E1,5.118870735E0,-5.249028206E0,1.384861318E1
7.689543950E-1,1.186948872E1,5.335623741E0,-5.305871964E0,1.405367996E1
7.736693430E-1,1.187729836E1,5.326593399E0,-5.103008270E0,1.398154165E1
7.783842910E-1,1.163538265E1,5.092986107E0,-4.701307774E0,1.354337224E1
7.830992390E-1,1.111742592E1,4.807362556E0,-4.190268517E0,1.281663934E1
7.878141860E-1,1.045425797E1,4.551318645E0,-3.630234957E0,1.196597747E1
7.925291340E-1,9.642472267E0,4.325180054E0,-3.170781612E0,1.103350851E1
7.972440820E-1,8.759704590E0,4.101204395E0,-2.694473743E0,1.004054235E1
8.019590300E-1,7.612033844E0,3.732785702E0,-1.138591290E0,8.554129907E0
8.066739780E-1,6.496073723E0,3.682803631E0,-1.418731213E-1,7.468744498E0
8.113889260E-1,5.749254227E0,3.592761993E0,1.327822208E-1,6.780818094E0
8.161038740E-1,5.207505226E0,3.315538168E0,1.563607454E-1,6.175382798E0
8.208188220E-1,4.593222618E0,3.175468445E0,2.698099613E-2,5.584086482E0
8.255337700E-1,4.015632629E0,3.142633200E0,-1.430779696E-1,5.101168508E0
8.302487180E-1,3.545361519E0,3.135384798E0,-6.035438776E-1,4.771214871E0
8.349636660E-1,3.105489731E0,3.139825821E0,-1.141889215E0,4.561412460E0
8.396786140E-1,2.572463989E0,3.033293962E0,-1.586563826E0,4.282012145E0
8.443935610E-1,2.032959938E0,2.874682903E0,-1.977045059E0,4.037998894E0
